product_id,product_name,brand,package_quantity,package_unit,product_category,from_date,to_date,percentage_of_discount
P001,lapte zuzu,Zuzu,1,l,lactate,5/8/2025,5/14/2025,9
P006,ou? m?rimea M,Ferma Veche,10,buc,ou?,5/8/2025,5/14/2025,11
P012,pâine alb?,K-Classic,500,g,panifica?ie,5/9/2025,5/15/2025,7
P022,zah?r tos,M?rg?ritar,1,kg,alimente de baz?,5/10/2025,5/16/2025,6
P029,ulei floarea-soarelui,Floriol,1,l,alimente de baz?,5/8/2025,5/14/2025,8
P032,biscui?i cu unt,Milka,0.2,kg,gust?ri,5/9/2025,5/15/2025,12
P035,cafea m?cinat?,Jacobs,0.25,kg,cafea,5/10/2025,5/16/2025,11
P044,hârtie igienic? 3 straturi,Pufina,10,role,produse de menaj,5/8/2025,5/14/2025,13
P047,piper negru m?cinat,Fuchs,50,g,condimente,5/9/2025,5/15/2025,10
P058,ceap? galben?,Generic,1,kg,legume ?i fructe,5/10/2025,5/16/2025,5
P061,suc portocale,Santorini,1,l,b?uturi,5/8/2025,5/14/2025,9
P063,ca?caval,K-Classic,0.25,kg,lactate,5/9/2025,5/15/2025,12
