product_id,product_name,product_category,brand,package_quantity,package_unit,price,currency
P001,lapte zuzu,lactate,Zuzu,1,l,9.9,RON
P002,iaurt grecesc,lactate,Lidl,0.4,kg,11.5,RON
P005,ou marimea M,oua,Lidl,10,buc,13.2,RON
P008,branza telemea,lactate,Pilos,0.3,kg,12.8,RON
P011,paine alba,panificatie,Lidl,500,g,3.5,RON
P014,rosii cherry,legume si fructe,Lidl,250,g,6.8,RON
P017,piept pui,carne,Lidl,1,kg,28.5,RON
P020,spaghetti nr 5,paste fainoase,Barilla,500,g,5.8,RON
P021,zahar tos,alimente de baza,Lidl,1,kg,4.4,RON
P024,apa plata,bauturi,Aqua Carpatica,2,l,5.2,RON
P026,banane,legume si fructe,Lidl,1,kg,6.1,RON
P028,ulei floarea-soarelui,alimente de baza,Bunica,1,l,9.2,RON
P031,biscuiti cu unt,gustari,Deluxe,0.2,kg,7.1,RON
P034,cafea macinata,cafea,Davidoff,0.25,kg,22.4,RON
P037,detergent lichid,produse de menaj,Persil,2.5,l,49.9,RON
P040,sampon par gras,ingrijire personala,Head & Shoulders,400,ml,17.8,RON
P043,hartie igienica 3 straturi,produse de menaj,Zewa,10,role,18.9,RON
P046,piper negru macinat,condimente,Kotanyi,50,g,6,RON
P049,vin alb demisec,bauturi,Jidvei,0.75,l,23.5,RON
P052,ciocolata neagra 70%,gustari,Fin Carre,100,g,3.9,RON
